;代码	x	y	名称	        范围	数量	时间

;弓箭守卫
;第一幕
diyimu 64 36 弓箭手 0 1 10
diyimu 45 34 弓箭手 0 1 10
diyimu 18 58 弓箭手 0 1 10
diyimu 57 59 弓箭手 0 1 10
diyimu 54 74 弓箭手 0 1 10
diyimu 70 73 弓箭手 0 1 10
diyimu 95 72 弓箭手 0 1 10
diyimu 76 83 弓箭手 0 1 10
diyimu 74 85 弓箭手 0 1 10
diyimu 86 87 弓箭手 0 1 10
diyimu 80 93 弓箭手 0 1 10
diyimu 54 90 弓箭手 0 1 10
diyimu 691 254 弓箭手 0 1 10
diyimu 691 265 弓箭手 0 1 10
diyimu 61 75 练功师 0 1 10

;第二幕
diermu 94 394  弓箭手 0 1 10
diermu 124 380 弓箭手 0 1 10
diermu 148 416 弓箭手 0 1 10
diermu 178 396 弓箭手 0 1 10
diermu 189 430 弓箭手 0 1 10
diermu 215 428 弓箭手 0 1 10
diermu 210 461 弓箭手 0 1 10
diermu 162 504 弓箭手 0 1 10
diermu 138 486 弓箭手 0 1 10
diermu 112 471 弓箭手 0 1 10
diermu 122 435 弓箭手 0 1 10
diermu 104 415 弓箭手 0 1 10
diermu 84 426  弓箭手 0 1 10
diermu 103 453 弓箭手 0 1 10
diermu 80  465 弓箭手 0 1 10
diermu 44  444 弓箭手 0 1 10
diermu 105 489 弓箭手 0 1 10
diermu 98 514  弓箭手 0 1 10
diermu 66 517  弓箭手 0 1 10
diermu 98 537  弓箭手 0 1 10
diermu 131 518 弓箭手 0 1 10
diermu 160 538 弓箭手 0 1 10
diermu 165 533 弓箭手 0 1 10
diermu 151 552 弓箭手 0 1 10
diermu 154 555 弓箭手 0 1 10
diermu 103 305 弓箭手 0 1 10
diermu 102 306 弓箭手 0 1 10
diermu  98 301 弓箭手 0 1 10
diermu  97 302 弓箭手 0 1 10

;第三幕
disanmu  463 286 弓箭手 0 1 10
disanmu  465 295 弓箭手 0 1 10
disanmu  442 261 弓箭手 0 1 10
disanmu  424 255 弓箭手 0 1 10
disanmu  438 332 弓箭手 0 1 10
disanmu  412 297 弓箭手 0 1 10
disanmu  416 301 弓箭手 0 1 10
disanmu  408 279 弓箭手 0 1 10
disanmu  376 263 弓箭手 0 1 10
disanmu  388 323 弓箭手 0 1 10
disanmu  391 343 弓箭手 0 1 10
disanmu  408 349 弓箭手 0 1 10
disanmu  407 381 弓箭手 0 1 10
disanmu  431 371 弓箭手 0 1 10
disanmu  457 384 弓箭手 0 1 10
disanmu  483 370 弓箭手 0 1 10
disanmu  458 336 弓箭手 0 1 10
disanmu  472 339 弓箭手 0 1 10
disanmu  445 302 弓箭手 0 1 10

;第四幕
disimu  57 67  弓箭手 0 1 10 
disimu  63 61  弓箭手 0 1 10 
disimu  54 28  弓箭手 0 1 10 
disimu  30 69  弓箭手 0 1 10 
disimu  38 33  弓箭手 0 1 10 
disimu  32 39  弓箭手 0 1 10 
disimu  17 26  弓箭手 0 1 10 
disimu  35 17  弓箭手 0 1 10 

diermu 260 28 弓箭手 0 1 10 
diermu 255 33 弓箭手 0 1 10 
;第五幕1
diwumu1 316 472 弓箭手 0 1 10
diwumu1 268 453 弓箭手 0 1 10
diwumu1 287 472 弓箭手 0 1 10
diwumu1 291 500 弓箭手 0 1 10
diwumu1 309 537 弓箭手 0 1 10
diwumu1 16  535 弓箭手 0 1 10
diwumu1 15  545 弓箭手 0 1 10
diwumu1 526 558 弓箭手 0 1 10
diwumu1 521 563 弓箭手 0 1 10
diwumu1 581 138 弓箭手 0 1 10
diwumu1 586 148 弓箭手 0 1 10

;第六幕
diwumu2 169 360 弓箭手 0 1 10
diwumu2 182 369 弓箭手 0 1 10
diwumu2 186 381 弓箭手 0 1 10
diwumu2 210 382 弓箭手 0 1 10
diwumu2 192 395 弓箭手 0 1 10
diwumu2 175 398 弓箭手 0 1 10
diwumu2 171 379 弓箭手 0 1 10
diwumu2 150 370 弓箭手 0 1 10 
diwumu2 152 345 弓箭手 0 1 10
diwumu2 150 347 弓箭手 0 1 10
diwumu2 151 353 弓箭手 0 1 10
diwumu2 158 346 弓箭手 0 1 10
diwumu2 156 411 弓箭手 0 1 10
diwumu2 151 406 弓箭手 0 1 10
diwumu2 27  435 弓箭手 0 1 10
diwumu2 38  431 弓箭手 0 1 10

;恶人谷
diyimu    306 671 弓箭手 0 1 10
diyimu    303 677 弓箭手 0 1 10
hongming  233 49  弓箭手 0 1 10
hongming  227 49  弓箭手 0 1 10

;45级召唤任务
shimuboss 62 31     死去的盗墓者   0 2 5
shimuboss 50 12     死去的盗墓者   0 2 5
disanmu 632 314     丛林树妖1      0 1 10
disanmu 724 340     丛林树妖2      0 1 10
disanmu 619 439     丛林树妖3      0 1 10
bopishuidao1 22 26  水域看管蛟蛇   3 1 10
bopishuidao2 21 22  河流潜行蛟蛇   3 1 10
bopishuidao3 21 20  冥河看管蛟蛇   3 1 10
yongshimuxue1 21 33 迷失的勇士之魂 5 10 8

;■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
;■暗影禁地■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
;■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
anying1 22 23 暗影护卫1 8 10 1
anying1 23 24 尸王8 8 1 1

anying2 25 23 暗影护卫2 8 10 1
anying2 25 23 沃玛教主8 8 1 1

anying3 24 23 暗影护卫3 8 10 1
anying3 23 22 触龙神8 0 1 1

anying4 23 25 暗影护卫4 8 10 1
anying4 20 23 祖玛教主8 0 1 1

anying5 25 25 暗影护卫5 8 10 1
